Distance,Hop,RTT_Mean,RTT_Std_Dev,RTT_SEM,PLR_Mean,PLR_Std_Dev,PLR_SEM,Type,Drive_Time,Walk_Time
400m,1,3369.768947738693,667.8197719475835,21.12888254218864,0.16404661172161172,0.18372682336513285,0.00581285944770743,LoRaX,240,4800
400m,2,4248.780909547739,1601.6770698326732,50.67481991483719,0.20939316239316236,0.1526228454669664,0.004828773136982307,LoRaX,480,9600
400m,3,5157.072073366834,2262.1443307468026,71.57107930248377,0.2287946199912918,0.1399449878773065,0.0044276634736410666,LoRaX,720,14400
400m,4,6149.400915577889,2829.9312726204066,89.53506316125682,0.24480213578990667,0.12383332042878685,0.0039179128741854774,LoRaX,960,19200
400m,5,7052.474379899497,3325.320429753903,105.20848247800177,0.2517541114118005,0.11915442507896892,0.0037698791764331817,LoRaX,1200,24000
400m,6,7602.512386934673,3266.681674218808,103.3532343554314,0.24998001687192226,0.10364904231173856,0.003279310575409191,LoRaX,1440,28800
400m,7,8734.651787939698,3813.3539352946195,120.64917927730487,0.2609665150587819,0.09800407137946991,0.0031007115988707502,LoRaX,1680,33600
400m,8,9710.074643216081,4403.400577754858,139.31742889590657,0.26295131433581065,0.09695052917527414,0.003067378998638246,LoRaX,1920,38400
400m,9,10780.777970854271,4361.882242326199,138.00384689449174,0.26989149767710385,0.08815263246611965,0.002789025865061627,LoRaX,2160,43200
400m,10,11376.313497487437,4817.981178310411,152.43417862594578,0.2650238048438713,0.0834867890210117,0.0026414051112998403,LoRaX,2400,48000
